Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training1,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.5,64,59
Training2,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.9,56,58
Training3,Lost,Logissys,Clinical research,UK,"Logissys,Clinical research,UK",79,7,59,48
Training4,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.9,34,41
Training5,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,5.7,43,63
Training6,Lost,GTMSys,Security,Singapore,"GTMSys,Security,Singapore",73,7.9,42,56
Training7,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,9.6,35,58
Training8,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,4.6,56,44
Training9,Won,Finsys,Insurance,UK,"Finsys,Insurance,UK",31,9.1,51,68
Training10,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8,46,61
Training11,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.2,51,62
Training12,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,10.6,48,46
Training13,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.5,55,90
Training14,Lost,Procsys,Security,India,"Procsys,Security,India",44,8.8,48,47
Training15,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,10.2,59,48
Training16,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,10.2,59,54
Training17,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,6.3,43,74
Training18,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.8,41,56
Training19,Won,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,9,33,90
Training20,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.5,53,90
Training21,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,11.5,40,51
Training22,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8,66,54
Training23,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.8,45,65
Training24,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.3,40,54
Training25,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,8.6,37,40
Training26,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,9.7,41,53
Training27,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,3.2,63,57
Training28,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9.7,30,74
Training29,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.3,34,49
Training30,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.9,51,66
Training31,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.9,57,90
Training32,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.6,45,56
Training33,Lost,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28,8.3,63,57
Training34,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.5,32,62
Training35,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,7.9,54,40
Training36,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.7,57,59
Training37,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,9.5,65,68
Training38,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,6,53,52
Training39,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.6,56,61
Training40,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.4,47,59
Training41,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.4,28,65
Training42,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.3,55,71
Training43,Won,Procsys,Security,India,"Procsys,Security,India",44,14.2,51,56
Training44,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.4,49,47
Training45,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,8.8,47,62
Training46,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.8,52,60
Training47,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,5.7,39,63
Training48,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.1,53,62
Training49,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,7.8,44,59
Training50,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.9,49,54
Training51,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.9,57,57
Training52,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,7.3,43,74
Training53,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,6.5,33,51
Training54,Won,Procsys,Security,India,"Procsys,Security,India",44,8,40,62
Training55,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,6.5,42,60
Training56,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.3,50,61
Training57,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,6.7,55,52
Training58,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,6.5,67,78
Training59,Won,Lifesys,Capital Markets,UK,"Lifesys,Capital Markets,UK",27,11.4,57,78
Training60,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,10.5,38,55
Training61,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,9.7,54,55
Training62,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,5.3,49,55
Training63,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,5.3,53,56
Training64,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.3,34,54
