Movie_Name,Dir_CAT,LEAD_ACTOR_CAT,Production_House_CAT,Music_Dir_CAT,S,Budget
Hate Story 2,LK,LK,A,B,1,12
Alone,LK,B,LK,B,0,18
Zid,LK,LK,LK,LK,0,20
NH10,LK,A,LK,B,1,13
Happy Ending,LK,A,A,B,0,48
Phata Poster Nikla Hero,A,B,A,A,0,40
Heartless,LK,LK,LK,LK,0,12
Gulaab Gang,LK,LK,LK,LK,0,27
Hunterrr,LK,LK,LK,LK,1,5
Go Goa Gone,LK,A,A,A,1,16
Raja Natwarlal,LK,LK,A,B,0,35
Lekar Hum Deewana Dil,LK,LK,A,A,0,16
Daawat-E-Ishq,B,B,A,A,0,30
Gori Tere Pyaar Mein,LK,B,A,A,0,30
Ramaiya Vastavaiya,B,B,A,LK,0,35
The Xpose,LK,LK,LK,A,1,16
Mastram,LK,LK,LK,LK,0,2
The Shaukeens,LK,LK,LK,B,0,35
Dum Laga Ke Haisha,LK,B,A,A,1,15
Commando-A One Man Army,LK,LK,A,B,0,22
Bobby Jasoos,LK,A,LK,B,0,18
Khamoshiyan,LK,LK,A,B,0,11
Highway,A,B,A,A,0,30
Creature,B,B,A,B,0,24
Bewakoofiyan,LK,LK,A,LK,0,22
Ungli,LK,B,LK,LK,1,5
Lootera,LK,A,A,B,0,27
Zanjeer,B,B,A,B,0,75
Dishkiyaoon,LK,A,B,B,0,28
Hawaizaada,LK,B,A,LK,0,25
Kaanchi,A,LK,A,B,0,31
Fugly,LK,LK,LK,B,0,10
Dedh Ishqiya,LK,B,A,A,0,31
Dilliwali Zaalim Girlfriend,LK,LK,LK,B,0,32
Murder 3,LK,B,A,B,1,12
B.A. Pass,LK,LK,LK,LK,1,2
D Day,LK,B,LK,A,0,30
Aurangzeb,LK,A,A,B,0,20
Policegiri,LK,B,B,A,0,30
Revolver Rani,LK,A,B,B,0,24
Jolly LLB,LK,B,A,LK,1,10
Total Siyappa,LK,B,LK,B,0,10
Rajjo,LK,A,B,A,0,12
Darr@ The Mall,LK,LK,B,A,0,15
Zilla Ghaziabad,LK,B,LK,B,0,36
Purani Jeans,LK,LK,A,B,0,10
Bombay Talkies,A,B,B,B,1,6
O Teri,LK,LK,B,LK,0,21
Yeh Hai Bakrapur,LK,LK,LK,LK,0,5
Nautanki Saala,A,B,A,LK,1,9
3G,LK,B,LK,B,0,5
"Saheb, Biwi Aur Gangster Returns",B,B,A,B,0,15
Shortcut Romeo,LK,B,B,A,0,15
Table No. 21,LK,B,B,B,0,10
Inkaar,LK,B,A,A,1,5
The Attacks of 26/11,B,B,LK,LK,0,30
One by Two,LK,B,LK,A,0,12
Sholay 3D,A,A,A,A,0,25
Filmistaan,LK,LK,LK,LK,0,10
Aatma,LK,B,LK,LK,0,8
David,LK,LK,LK,LK,0,10
Pizza 3D,LK,LK,B,LK,0,10
Miss Lovely,LK,LK,LK,LK,0,5
Hawaa Hawaai,B,LK,LK,LK,0,11
Ishkq in Paris,LK,B,B,A,0,15
Nasha,LK,LK,LK,LK,1,4
Youngistaan,LK,LK,B,B,0,26
Koyelaanchal,LK,B,LK,LK,0,8
Children Of War,LK,LK,LK,LK,1,12
Amit Sahni Ki List,LK,LK,LK,LK,0,10
Mere Dad Ki Maruti,LK,LK,LK,LK,1,5
Kya Dilli Kya Lahore,LK,B,LK,LK,0,7
Bajatey Raho,LK,B,A,LK,1,5
Samrat and Co.,LK,LK,A,B,0,18
Manjunath,LK,LK,A,LK,0,3
Mickey Virus,LK,LK,LK,LK,0,11
Mr Joe B Carvalho,LK,LK,LK,LK,0,15
Mumbai Mirror,LK,B,B,LK,0,4
Satya 2,B,LK,LK,LK,0,15
Sona Spa,LK,B,LK,LK,0,10
Issaq,LK,LK,LK,LK,0,10
Rajdhani Express,LK,B,B,LK,0,7
War Chhod Na Yaar,LK,B,LK,LK,0,14
Bandook,LK,LK,LK,LK,0,4
Baat Ban Gayi,LK,B,LK,LK,0,4
Gangoobai,LK,B,LK,LK,0,2
Krrish 3,A,A,A,A,1,115
Kick,A,A,A,A,1,100
Bang Bang,B,A,A,A,1,140
Action Jackson,B,A,LK,A,0,90
PK,A,A,A,A,1,85
2 States,LK,A,A,A,1,36
Singham Returns,A,A,A,A,1,90
Baby,B,A,A,A,1,60
Roy,LK,A,A,A,0,40
Race 2,A,A,A,A,1,60
Haider,A,B,A,A,1,24
Holiday,A,A,B,A,1,50
Humpty Sharma Ki Dulhania,LK,B,A,LK,1,20
Boss,LK,A,A,B,0,50
Happy New Year,A,A,A,A,1,125
Entertainment,A,A,A,B,1,60
Humshakals,A,A,B,A,0,75
Finding Fanny,B,A,B,LK,1,15
Tevar,LK,A,B,A,0,40
Mary Kom,LK,A,A,B,1,15
Raanjhanaa,B,B,A,A,1,35
Khoobsurat,LK,B,A,LK,1,12
Ragini MMS 2,LK,B,B,B,1,18
Besharam,B,A,LK,A,0,85
Yeh Jawaani Hai Deewani,B,A,A,A,1,70
Main Tera Hero,A,B,B,A,0,40
Kochadaiiyaan,LK,A,A,A,0,150
Shaadi Ke Side Effects,LK,A,B,A,0,50
Badlapur,LK,B,A,A,1,23
Ek Villain,B,B,B,B,1,35
Mardaani,LK,B,LK,A,1,15
ABCD – Any Body Can Dance,B,B,B,A,1,12
Bullett Raja,B,A,LK,A,0,50
Heropanti,B,B,A,A,1,21
Gunday,A,A,A,LK,1,50
Yaariyan,LK,LK,A,A,1,19
Once Upon Ay Time In Mumbai Dobaara!,B,A,A,A,0,100
Bhootnath Returns,LK,A,A,B,1,29
Queen,B,A,A,B,1,25
Aashiqui 2,B,LK,A,A,1,12
Yamla Pagla Deewana 2,LK,A,B,B,1,24
Bhaag Milkha Bhaag,A,A,B,A,1,30
Hasee To Phansee,LK,B,A,B,0,27
Himmatwala,A,A,A,A,1,50
Matru Ki Bijlee Ka Mandola,A,A,A,A,0,33
Kill Dil,B,A,A,A,0,35
Ghanchakkar,LK,A,LK,B,0,30
Shamitabh,B,A,A,LK,0,40
Kai Po Che!,B,LK,A,A,1,30
Chennai Express,A,A,A,A,1,75
Ek Thi Daayan,LK,B,B,A,1,24
Special 26,B,A,B,A,1,42
Grand Masti,B,B,A,A,1,35
Madras Cafe,B,B,A,A,0,35
Satyagraha,A,A,A,A,0,50
Shahid,B,B,A,LK,1,6
Citylights,LK,B,A,B,1,7
The Lunchbox,LK,A,LK,LK,1,10
Jai Ho,A,A,B,A,0,120
Shootout at Wadala,B,B,A,A,1,45
Fukrey,LK,LK,B,LK,1,5
Chashme Baddoor,A,B,A,A,1,20
Shuddh Desi Romance,LK,B,A,A,1,25
